id_venta,producto,precio,cantidad,fecha_venta,categoria,precio_num,ingreso,anio_mes,id_campanha,canal,costo,fecha_inicio,fecha_fin,campania_activa
821,Lámpara de mesa,$71.17,10.0,2024-04-07,Decoración,71.17,711.7,2024-04,32,Email,5.54,2024-03-28,2024-04-20,True
2373,Smartphone,$123.60,12.0,2024-04-07,Electrónica,123.6,1483.1999999999998,2024-04,21,RRSS,6.37,2024-03-29,2024-05-16,True
141,Lámpara de mesa,$96.45,1.0,2024-04-10,Decoración,96.45,96.45,2024-04,32,Email,5.54,2024-03-28,2024-04-20,True
600,Adorno de pared,$66.00,4.0,2024-04-10,Decoración,66.0,264.0,2024-04,74,TV,4.81,2024-03-20,2024-05-03,True
1630,Plancha de vapor,$76.06,9.0,2024-04-10,Electrodomésticos,76.06,684.54,2024-04,36,Email,5.41,2024-04-02,2024-06-01,True
1919,Batidora,$38.51,9.0,2024-04-10,Electrodomésticos,38.51,346.59,2024-04,57,Email,4.48,2024-04-10,2024-06-08,True
1109,Batidora,$123.83,12.0,2024-04-11,Electrodomésticos,123.83,1485.96,2024-04,57,Email,4.48,2024-04-10,2024-06-08,True
2478,SmartWatch,$80.84,8.0,2024-04-11,Electrónica,80.84,646.72,2024-04,85,TV,5.07,2024-04-01,2024-05-05,True
2544,Tablet,$63.88,8.0,2024-04-11,Electrónica,63.88,511.04,2024-04,12,RRSS,3.4,2024-03-26,2024-05-13,True
2934,Tablet,$95.90,2.0,2024-04-11,Electrónica,95.9,191.8,2024-04,12,RRSS,3.4,2024-03-26,2024-05-13,True
89,Lámpara de mesa,$55.79,1.0,2024-04-13,Decoración,55.79,55.79,2024-04,32,Email,5.54,2024-03-28,2024-04-20,True
659,Lámpara de mesa,$50.98,3.0,2024-04-13,Decoración,50.98,152.94,2024-04,32,Email,5.54,2024-03-28,2024-04-20,True
1450,Plancha de vapor,$56.80,8.0,2024-04-13,Electrodomésticos,56.8,454.4,2024-04,36,Email,5.41,2024-04-02,2024-06-01,True
2704,Tablet,$117.89,1.0,2024-04-13,Electrónica,117.89,117.89,2024-04,12,RRSS,3.4,2024-03-26,2024-05-13,True
285,Alfombra,$107.80,7.0,2024-04-14,Decoración,107.8,754.6,2024-04,58,Email,4.25,2024-03-31,2024-05-05,True
185,Alfombra,$45.21,6.0,2024-04-15,Decoración,45.21,271.26,2024-04,58,Email,4.25,2024-03-31,2024-05-05,True
601,Lámpara de mesa,$99.85,3.0,2024-04-15,Decoración,99.85,299.54999999999995,2024-04,32,Email,5.54,2024-03-28,2024-04-20,True
2673,Smartphone,$76.29,11.0,2024-04-15,Electrónica,76.29,839.19,2024-04,21,RRSS,6.37,2024-03-29,2024-05-16,True
19,Lámpara de mesa,$61.03,6.0,2024-04-16,Decoración,61.03,366.18,2024-04,32,Email,5.54,2024-03-28,2024-04-20,True
1629,Batidora,$108.94,6.0,2024-04-16,Electrodomésticos,108.94,653.64,2024-04,57,Email,4.48,2024-04-10,2024-06-08,True
1,Lámpara de mesa,$82.25,8.0,2024-04-17,Decoración,82.25,658.0,2024-04,32,Email,5.54,2024-03-28,2024-04-20,True
1009,Batidora,$119.03,8.0,2024-04-17,Electrodomésticos,119.03,952.24,2024-04,57,Email,4.48,2024-04-10,2024-06-08,True
1190,Plancha de vapor,$29.68,1.0,2024-04-17,Electrodomésticos,29.68,29.68,2024-04,36,Email,5.41,2024-04-02,2024-06-01,True
2368,SmartWatch,$70.23,5.0,2024-04-17,Electrónica,70.23,351.15000000000003,2024-04,85,TV,5.07,2024-04-01,2024-05-05,True
925,Alfombra,$52.55,11.0,2024-04-18,Decoración,52.55,578.05,2024-04,58,Email,4.25,2024-03-31,2024-05-05,True
1590,Plancha de vapor,$60.38,4.0,2024-04-18,Electrodomésticos,60.38,241.52,2024-04,36,Email,5.41,2024-04-02,2024-06-01,True
2134,Tablet,$43.20,4.0,2024-04-18,Electrónica,43.2,172.8,2024-04,12,RRSS,3.4,2024-03-26,2024-05-13,True
905,Alfombra,$112.82,9.0,2024-04-19,Decoración,112.82,1015.3799999999999,2024-04,58,Email,4.25,2024-03-31,2024-05-05,True
1459,Batidora,$66.73,8.0,2024-04-19,Electrodomésticos,66.73,533.84,2024-04,57,Email,4.48,2024-04-10,2024-06-08,True
1680,Plancha de vapor,$110.30,9.0,2024-04-20,Electrodomésticos,110.3,992.6999999999999,2024-04,36,Email,5.41,2024-04-02,2024-06-01,True
2413,Smartphone,$76.69,3.0,2024-04-20,Electrónica,76.69,230.07,2024-04,21,RRSS,6.37,2024-03-29,2024-05-16,True
2844,Tablet,$53.22,7.0,2024-04-20,Electrónica,53.22,372.53999999999996,2024-04,12,RRSS,3.4,2024-03-26,2024-05-13,True
1230,Plancha de vapor,$90.85,2.0,2024-04-21,Electrodomésticos,90.85,181.7,2024-04,36,Email,5.41,2024-04-02,2024-06-01,True
2523,Smartphone,$56.73,1.0,2024-04-21,Electrónica,56.73,56.73,2024-04,21,RRSS,6.37,2024-03-29,2024-05-16,True
2611,Parlantes Bluetooth,$48.89,12.0,2024-04-21,Electrónica,48.89,586.6800000000001,2024-04,84,TV,4.42,2024-04-17,2024-05-05,True
305,Alfombra,$91.25,2.0,2024-04-22,Decoración,91.25,182.5,2024-04,58,Email,4.25,2024-03-31,2024-05-05,True
1010,Plancha de vapor,$37.94,8.0,2024-04-22,Electrodomésticos,37.94,303.52,2024-04,36,Email,5.41,2024-04-02,2024-06-01,True
2214,Tablet,$81.56,8.0,2024-04-23,Electrónica,81.56,652.48,2024-04,12,RRSS,3.4,2024-03-26,2024-05-13,True
945,Alfombra,$60.74,12.0,2024-04-24,Decoración,60.74,728.88,2024-04,58,Email,4.25,2024-03-31,2024-05-05,True
1320,Plancha de vapor,$73.95,4.0,2024-04-24,Electrodomésticos,73.95,295.8,2024-04,36,Email,5.41,2024-04-02,2024-06-01,True
320,Adorno de pared,$37.38,6.0,2024-04-25,Decoración,37.38,224.28000000000003,2024-04,74,TV,4.81,2024-03-20,2024-05-03,True
320,Adorno de pared,$37.38,6.0,2024-04-25,Decoración,37.38,224.28000000000003,2024-04,44,Email,5.08,2024-04-13,2024-05-10,True
2713,Smartphone,$28.75,9.0,2024-04-25,Electrónica,28.75,258.75,2024-04,21,RRSS,6.37,2024-03-29,2024-05-16,True
765,Alfombra,$72.71,1.0,2024-04-26,Decoración,72.71,72.71,2024-04,58,Email,4.25,2024-03-31,2024-05-05,True
1119,Batidora,$59.86,3.0,2024-04-26,Electrodomésticos,59.86,179.57999999999998,2024-04,57,Email,4.48,2024-04-10,2024-06-08,True
2088,SmartWatch,$111.58,9.0,2024-04-26,Electrónica,111.58,1004.22,2024-04,85,TV,5.07,2024-04-01,2024-05-05,True
2101,Parlantes Bluetooth,$82.23,2.0,2024-04-26,Electrónica,82.23,164.46,2024-04,84,TV,4.42,2024-04-17,2024-05-05,True
2363,Smartphone,$88.02,12.0,2024-04-26,Electrónica,88.02,1056.24,2024-04,21,RRSS,6.37,2024-03-29,2024-05-16,True
375,Alfombra,$70.93,8.0,2024-04-27,Decoración,70.93,567.44,2024-04,58,Email,4.25,2024-03-31,2024-05-05,True
2201,Parlantes Bluetooth,$41.53,7.0,2024-04-27,Electrónica,41.53,290.71000000000004,2024-04,84,TV,4.42,2024-04-17,2024-05-05,True
2528,SmartWatch,$54.61,1.0,2024-04-27,Electrónica,54.61,54.61,2024-04,85,TV,5.07,2024-04-01,2024-05-05,True
2633,Smartphone,$35.18,12.0,2024-04-27,Electrónica,35.18,422.15999999999997,2024-04,21,RRSS,6.37,2024-03-29,2024-05-16,True
1329,Batidora,$55.84,7.0,2024-04-28,Electrodomésticos,55.84,390.88,2024-04,57,Email,4.48,2024-04-10,2024-06-08,True
1830,Plancha de vapor,$120.94,11.0,2024-04-28,Electrodomésticos,120.94,1330.34,2024-04,36,Email,5.41,2024-04-02,2024-06-01,True
202,Cuadro decorativo,$106.72,4.0,2024-04-29,Decoración,106.72,426.88,2024-04,1,RRSS,5.27,2024-04-27,2024-06-04,True
255,Alfombra,$68.38,7.0,2024-04-30,Decoración,68.38,478.65999999999997,2024-04,58,Email,4.25,2024-03-31,2024-05-05,True
975,Alfombra,$28.96,5.0,2024-04-30,Decoración,28.96,144.8,2024-04,58,Email,4.25,2024-03-31,2024-05-05,True
475,Alfombra,$120.18,3.0,2024-05-01,Decoración,120.18,360.54,2024-05,58,Email,4.25,2024-03-31,2024-05-05,True
972,Cuadro decorativo,$26.20,10.0,2024-05-01,Decoración,26.2,262.0,2024-05,1,RRSS,5.27,2024-04-27,2024-06-04,True
100,Adorno de pared,$112.16,8.0,2024-05-02,Decoración,112.16,897.28,2024-05,74,TV,4.81,2024-03-20,2024-05-03,True
100,Adorno de pared,$112.16,8.0,2024-05-02,Decoración,112.16,897.28,2024-05,44,Email,5.08,2024-04-13,2024-05-10,True
536,Cortinas,$107.95,1.0,2024-05-02,Decoración,107.95,107.95,2024-05,43,Email,5.67,2024-05-02,2024-06-17,True
1310,Plancha de vapor,$43.78,9.0,2024-05-02,Electrodomésticos,43.78,394.02,2024-05,36,Email,5.41,2024-04-02,2024-06-01,True
1969,Batidora,$72.90,1.0,2024-05-02,Electrodomésticos,72.9,72.9,2024-05,57,Email,4.48,2024-04-10,2024-06-08,True
2191,Parlantes Bluetooth,$124.34,11.0,2024-05-02,Electrónica,124.34,1367.74,2024-05,84,TV,4.42,2024-04-17,2024-05-05,True
2621,Parlantes Bluetooth,$119.91,9.0,2024-05-02,Electrónica,119.91,1079.19,2024-05,84,TV,4.42,2024-04-17,2024-05-05,True
2988,SmartWatch,$100.80,4.0,2024-05-02,Electrónica,100.8,403.2,2024-05,85,TV,5.07,2024-04-01,2024-05-05,True
220,Adorno de pared,$55.36,9.0,2024-05-03,Decoración,55.36,498.24,2024-05,74,TV,4.81,2024-03-20,2024-05-03,True
220,Adorno de pared,$55.36,9.0,2024-05-03,Decoración,55.36,498.24,2024-05,44,Email,5.08,2024-04-13,2024-05-10,True
1439,Batidora,$71.74,9.0,2024-05-03,Electrodomésticos,71.74,645.66,2024-05,57,Email,4.48,2024-04-10,2024-06-08,True
1819,Batidora,$87.56,9.0,2024-05-03,Electrodomésticos,87.56,788.04,2024-05,57,Email,4.48,2024-04-10,2024-06-08,True
2463,Smartphone,$67.59,2.0,2024-05-03,Electrónica,67.59,135.18,2024-05,21,RRSS,6.37,2024-03-29,2024-05-16,True
16,Cortinas,$32.47,5.0,2024-05-04,Decoración,32.47,162.35,2024-05,43,Email,5.67,2024-05-02,2024-06-17,True
342,Cuadro decorativo,$61.90,5.0,2024-05-04,Decoración,61.9,309.5,2024-05,1,RRSS,5.27,2024-04-27,2024-06-04,True
806,Cortinas,$119.32,9.0,2024-05-04,Decoración,119.32,1073.8799999999999,2024-05,43,Email,5.67,2024-05-02,2024-06-17,True
650,Adorno de pared,$43.11,4.0,2024-05-05,Decoración,43.11,172.44,2024-05,44,Email,5.08,2024-04-13,2024-05-10,True
656,Cortinas,$107.26,2.0,2024-05-05,Decoración,107.26,214.52,2024-05,43,Email,5.67,2024-05-02,2024-06-17,True
2403,Smartphone,$74.39,3.0,2024-05-05,Electrónica,74.39,223.17000000000002,2024-05,21,RRSS,6.37,2024-03-29,2024-05-16,True
2898,SmartWatch,$108.81,10.0,2024-05-05,Electrónica,108.81,1088.1,2024-05,85,TV,5.07,2024-04-01,2024-05-05,True
550,Adorno de pared,$98.99,8.0,2024-05-06,Decoración,98.99,791.92,2024-05,44,Email,5.08,2024-04-13,2024-05-10,True
2780,Consola de videojuegos,$65.35,6.0,2024-05-06,Electrónica,65.35,392.09999999999997,2024-05,50,Email,4.97,2024-05-03,2024-05-28,True
22,Cuadro decorativo,$122.36,6.0,2024-05-08,Decoración,122.36,734.16,2024-05,1,RRSS,5.27,2024-04-27,2024-06-04,True
1000,Adorno de pared,$74.64,11.0,2024-05-08,Decoración,74.64,821.04,2024-05,44,Email,5.08,2024-04-13,2024-05-10,True
1970,Plancha de vapor,$113.70,5.0,2024-05-08,Electrodomésticos,113.7,568.5,2024-05,36,Email,5.41,2024-04-02,2024-06-01,True
1972,Heladera,$105.49,3.0,2024-05-08,Electrodomésticos,105.49,316.46999999999997,2024-05,34,Email,4.2,2024-05-06,2024-07-05,True
2163,Smartphone,$106.39,12.0,2024-05-08,Electrónica,106.39,1276.68,2024-05,21,RRSS,6.37,2024-03-29,2024-05-16,True
14,Jarrón decorativo,$29.77,5.0,2024-05-09,Decoración,29.77,148.85,2024-05,15,RRSS,4.65,2024-05-09,2024-06-13,True
94,Jarrón decorativo,$34.60,1.0,2024-05-09,Decoración,34.6,34.6,2024-05,15,RRSS,4.65,2024-05-09,2024-06-13,True
2473,Smartphone,$75.13,12.0,2024-05-09,Electrónica,75.13,901.56,2024-05,21,RRSS,6.37,2024-03-29,2024-05-16,True
2840,Consola de videojuegos,$69.43,3.0,2024-05-09,Electrónica,69.43,208.29000000000002,2024-05,50,Email,4.97,2024-05-03,2024-05-28,True
2333,Smartphone,$109.48,5.0,2024-05-10,Electrónica,109.48,547.4,2024-05,21,RRSS,6.37,2024-03-29,2024-05-16,True
1269,Batidora,$46.78,5.0,2024-05-12,Electrodomésticos,46.78,233.9,2024-05,57,Email,4.48,2024-04-10,2024-06-08,True
1765,Lavadora,$95.85,8.0,2024-05-12,Electrodomésticos,95.85,766.8,2024-05,46,Email,3.63,2024-05-12,2024-05-29,True
1789,Batidora,$45.45,12.0,2024-05-12,Electrodomésticos,45.45,545.4000000000001,2024-05,57,Email,4.48,2024-04-10,2024-06-08,True
2860,Consola de videojuegos,$100.61,6.0,2024-05-12,Electrónica,100.61,603.66,2024-05,50,Email,4.97,2024-05-03,2024-05-28,True
1682,Heladera,$47.08,1.0,2024-05-13,Electrodomésticos,47.08,47.08,2024-05,34,Email,4.2,2024-05-06,2024-07-05,True
214,Jarrón decorativo,$83.40,6.0,2024-05-14,Decoración,83.4,500.40000000000003,2024-05,15,RRSS,4.65,2024-05-09,2024-06-13,True
286,Cortinas,$94.53,4.0,2024-05-14,Decoración,94.53,378.12,2024-05,43,Email,5.67,2024-05-02,2024-06-17,True
1122,Heladera,$38.84,5.0,2024-05-14,Electrodomésticos,38.84,194.20000000000002,2024-05,34,Email,4.2,2024-05-06,2024-07-05,True
1955,Lavadora,$27.86,6.0,2024-05-14,Electrodomésticos,27.86,167.16,2024-05,46,Email,3.63,2024-05-12,2024-05-29,True
2213,Smartphone,$30.51,9.0,2024-05-14,Electrónica,30.51,274.59000000000003,2024-05,21,RRSS,6.37,2024-03-29,2024-05-16,True
1540,Plancha de vapor,$47.10,3.0,2024-05-15,Electrodomésticos,47.1,141.3,2024-05,36,Email,5.41,2024-04-02,2024-06-01,True
1739,Batidora,$30.74,10.0,2024-05-15,Electrodomésticos,30.74,307.4,2024-05,57,Email,4.48,2024-04-10,2024-06-08,True
2733,Smartphone,$75.31,5.0,2024-05-15,Electrónica,75.31,376.55,2024-05,21,RRSS,6.37,2024-03-29,2024-05-16,True
736,Cortinas,$73.30,5.0,2024-05-16,Decoración,73.3,366.5,2024-05,43,Email,5.67,2024-05-02,2024-06-17,True
244,Jarrón decorativo,$64.62,8.0,2024-05-17,Decoración,64.62,516.96,2024-05,15,RRSS,4.65,2024-05-09,2024-06-13,True
1300,Plancha de vapor,$93.91,7.0,2024-05-17,Electrodomésticos,93.91,657.37,2024-05,36,Email,5.41,2024-04-02,2024-06-01,True
2999,Consola de videojuegos,$52.08,4.0,2024-05-17,Electrónica,52.08,208.32,2024-05,50,Email,4.97,2024-05-03,2024-05-28,True
2612,Televisor,$96.38,11.0,2024-05-18,Electrónica,96.38,1060.1799999999998,2024-05,29,RRSS,3.96,2024-05-17,2024-06-28,True
1905,Lavadora,$49.50,5.0,2024-05-19,Electrodomésticos,49.5,247.5,2024-05,46,Email,3.63,2024-05-12,2024-05-29,True
2582,Televisor,$69.30,6.0,2024-05-19,Electrónica,69.3,415.79999999999995,2024-05,29,RRSS,3.96,2024-05-17,2024-06-28,True
762,Cuadro decorativo,$65.61,9.0,2024-05-20,Decoración,65.61,590.49,2024-05,1,RRSS,5.27,2024-04-27,2024-06-04,True
976,Cortinas,$114.76,11.0,2024-05-20,Decoración,114.76,1262.3600000000001,2024-05,43,Email,5.67,2024-05-02,2024-06-17,True
2482,Televisor,$43.31,1.0,2024-05-20,Electrónica,43.31,43.31,2024-05,29,RRSS,3.96,2024-05-17,2024-06-28,True
44,Jarrón decorativo,$118.28,11.0,2024-05-21,Decoración,118.28,1301.08,2024-05,15,RRSS,4.65,2024-05-09,2024-06-13,True
54,Jarrón decorativo,$49.21,4.0,2024-05-21,Decoración,49.21,196.84,2024-05,15,RRSS,4.65,2024-05-09,2024-06-13,True
106,Cortinas,$101.89,7.0,2024-05-21,Decoración,101.89,713.23,2024-05,43,Email,5.67,2024-05-02,2024-06-17,True
414,Jarrón decorativo,$33.06,2.0,2024-05-21,Decoración,33.06,66.12,2024-05,15,RRSS,4.65,2024-05-09,2024-06-13,True
1479,Batidora,$121.07,1.0,2024-05-21,Electrodomésticos,121.07,121.07,2024-05,57,Email,4.48,2024-04-10,2024-06-08,True
2150,Consola de videojuegos,$66.93,5.0,2024-05-21,Electrónica,66.93,334.65000000000003,2024-05,50,Email,4.97,2024-05-03,2024-05-28,True
2432,Televisor,$54.12,9.0,2024-05-21,Electrónica,54.12,487.08,2024-05,29,RRSS,3.96,2024-05-17,2024-06-28,True
312,Cuadro decorativo,$42.77,1.0,2024-05-22,Decoración,42.77,42.77,2024-05,1,RRSS,5.27,2024-04-27,2024-06-04,True
802,Cuadro decorativo,$27.37,5.0,2024-05-22,Decoración,27.37,136.85,2024-05,1,RRSS,5.27,2024-04-27,2024-06-04,True
812,Cuadro decorativo,$107.32,10.0,2024-05-22,Decoración,107.32,1073.1999999999998,2024-05,1,RRSS,5.27,2024-04-27,2024-06-04,True
2802,Televisor,$101.58,9.0,2024-05-22,Electrónica,101.58,914.22,2024-05,29,RRSS,3.96,2024-05-17,2024-06-28,True
672,Cuadro decorativo,$47.68,6.0,2024-05-23,Decoración,47.68,286.08,2024-05,1,RRSS,5.27,2024-04-27,2024-06-04,True
2189,Proyector,$100.31,3.0,2024-05-23,Electrónica,100.31,300.93,2024-05,67,TV,3.68,2024-05-22,2024-07-12,True
476,Cortinas,$71.82,11.0,2024-05-25,Decoración,71.82,790.02,2024-05,43,Email,5.67,2024-05-02,2024-06-17,True
2092,Televisor,$65.23,6.0,2024-05-25,Electrónica,65.23,391.38,2024-05,29,RRSS,3.96,2024-05-17,2024-06-28,True
2652,Televisor,$74.49,4.0,2024-05-25,Electrónica,74.49,297.96,2024-05,29,RRSS,3.96,2024-05-17,2024-06-28,True
782,Cuadro decorativo,$67.07,6.0,2024-05-26,Decoración,67.07,402.41999999999996,2024-05,1,RRSS,5.27,2024-04-27,2024-06-04,True
1025,Lavadora,$119.78,9.0,2024-05-26,Electrodomésticos,119.78,1078.02,2024-05,46,Email,3.63,2024-05-12,2024-05-29,True
1025,Lavadora,$119.78,9.0,2024-05-26,Electrodomésticos,119.78,1078.02,2024-05,76,TV,4.66,2024-05-26,2024-07-02,True
1050,Plancha de vapor,$72.33,1.0,2024-05-27,Electrodomésticos,72.33,72.33,2024-05,36,Email,5.41,2024-04-02,2024-06-01,True
1380,Plancha de vapor,$61.63,2.0,2024-05-27,Electrodomésticos,61.63,123.26,2024-05,36,Email,5.41,2024-04-02,2024-06-01,True
1702,Heladera,$77.89,2.0,2024-05-27,Electrodomésticos,77.89,155.78,2024-05,34,Email,4.2,2024-05-06,2024-07-05,True
1940,Plancha de vapor,$45.19,1.0,2024-05-27,Electrodomésticos,45.19,45.19,2024-05,36,Email,5.41,2024-04-02,2024-06-01,True
224,Jarrón decorativo,$75.72,1.0,2024-05-28,Decoración,75.72,75.72,2024-05,15,RRSS,4.65,2024-05-09,2024-06-13,True
1080,Plancha de vapor,$53.10,6.0,2024-05-28,Electrodomésticos,53.1,318.6,2024-05,36,Email,5.41,2024-04-02,2024-06-01,True
1732,Heladera,$109.53,11.0,2024-05-28,Electrodomésticos,109.53,1204.83,2024-05,34,Email,4.2,2024-05-06,2024-07-05,True
784,Jarrón decorativo,$109.83,6.0,2024-05-29,Decoración,109.83,658.98,2024-05,15,RRSS,4.65,2024-05-09,2024-06-13,True
902,Cuadro decorativo,$111.22,9.0,2024-05-29,Decoración,111.22,1000.98,2024-05,1,RRSS,5.27,2024-04-27,2024-06-04,True
1275,Lavadora,$82.49,11.0,2024-05-29,Electrodomésticos,82.49,907.39,2024-05,46,Email,3.63,2024-05-12,2024-05-29,True
1275,Lavadora,$82.49,11.0,2024-05-29,Electrodomésticos,82.49,907.39,2024-05,76,TV,4.66,2024-05-26,2024-07-02,True
1719,Batidora,$106.81,10.0,2024-05-29,Electrodomésticos,106.81,1068.1,2024-05,57,Email,4.48,2024-04-10,2024-06-08,True
82,Cuadro decorativo,$47.42,5.0,2024-05-30,Decoración,47.42,237.10000000000002,2024-05,1,RRSS,5.27,2024-04-27,2024-06-04,True
111,Lámpara de mesa,$38.65,12.0,2024-05-30,Decoración,38.65,463.79999999999995,2024-05,2,RRSS,5.88,2024-05-30,2024-06-29,True
432,Cuadro decorativo,$77.42,12.0,2024-05-30,Decoración,77.42,929.04,2024-05,1,RRSS,5.27,2024-04-27,2024-06-04,True
1632,Heladera,$120.78,8.0,2024-05-30,Electrodomésticos,120.78,966.24,2024-05,34,Email,4.2,2024-05-06,2024-07-05,True
166,Cortinas,$105.06,8.0,2024-05-31,Decoración,105.06,840.48,2024-05,43,Email,5.67,2024-05-02,2024-06-17,True
482,Cuadro decorativo,$54.21,7.0,2024-05-31,Decoración,54.21,379.47,2024-05,1,RRSS,5.27,2024-04-27,2024-06-04,True
2659,Proyector,$75.90,3.0,2024-05-31,Electrónica,75.9,227.70000000000002,2024-05,67,TV,3.68,2024-05-22,2024-07-12,True
2842,Televisor,$38.35,5.0,2024-05-31,Electrónica,38.35,191.75,2024-05,29,RRSS,3.96,2024-05-17,2024-06-28,True
376,Cortinas,$106.27,2.0,2024-06-01,Decoración,106.27,212.54,2024-06,43,Email,5.67,2024-05-02,2024-06-17,True
1040,Plancha de vapor,$49.22,2.0,2024-06-01,Electrodomésticos,49.22,98.44,2024-06,36,Email,5.41,2024-04-02,2024-06-01,True
1929,Batidora,$92.87,10.0,2024-06-01,Electrodomésticos,92.87,928.7,2024-06,57,Email,4.48,2024-04-10,2024-06-08,True
2929,Proyector,$115.45,7.0,2024-06-01,Electrónica,115.45,808.15,2024-06,67,TV,3.68,2024-05-22,2024-07-12,True
253,Espejo decorativo,$92.77,5.0,2024-06-02,Decoración,92.77,463.84999999999997,2024-06,83,TV,5.24,2024-05-31,2024-07-08,True
334,Jarrón decorativo,$84.95,12.0,2024-06-02,Decoración,84.95,1019.4000000000001,2024-06,15,RRSS,4.65,2024-05-09,2024-06-13,True
